Year,Rainfall_mm,Temperature_C
1901,1032.3,25.42
1902,1030.2,25.42
1903,1190.5,25.01
1904,1019.8,24.93
1905,975.3,24.84
1906,1144.1,25.18
1907,1039.7,25.02
1908,1096.6,25
1909,1158.1,24.96
1910,1200.3,24.84
1911,1047.5,25.08
1912,1078.1,25.2
1913,1068.9,24.95
1914,1214.3,25.07
1915,1137.2,25.44
1916,1337.1,25.08
1917,1480.3,24.54
1918,1026.2,24.96
1919,1308.9,25.15
1920,1047.9,25.14
1921,1240.2,25.45
1922,1211.9,25.18
1923,1176.3,25.16
1924,1268.3,25.3
1925,1210.4,24.97
1926,1246.8,25.14
1927,1262.6,25.01
1928,1218.4,25.31
1929,1208.5,25.15
1930,1209.4,25.01
1931,1314.6,25.45
1932,1218.9,25.25
1933,1393.5,24.91
1934,1227.6,25.06
1935,1143.4,25.05
1936,1341.7,25.11
1937,1218.1,25
1938,1306.7,25.1
1939,1125.9,25.09
1940,1214.6,24.97
1941,1080.9,25.61
1942,1292.7,25.26
1943,1282.1,24.84
1944,1319.1,24.86
1945,1225.8,24.69
1946,1332.6,25.29
1947,1236.6,25.35
1948,1341.9,25.29
1949,1272.4,25.16
1950,1172.5,24.88
1951,1061.3,25.33
1952,1108.2,25.41
1953,1222.9,25.58
1954,1180.3,25.24
1955,1298.3,25.02
1956,1386.2,24.95
1957,1178.2,25.15
1958,1331,25.75
1959,1382.1,25.36
1960,1149,25.39
1961,1403,24.97
1962,1196.4,25.05
1963,1210.2,25.24
1964,1235.1,25.23
1965,938.4,25.23
1966,1064,25.52
1967,1148.3,25.17
1968,1054.2,25.09
1969,1147.7,25.58
1970,1247,25.23
1971,1218,24.83
1972,948.5,25.22
1973,1214,25.37
1974,1043.7,25.08
1975,1290.2,24.84
1976,1124.8,25.11
1977,1270.4,25.29
1978,1239.3,25.13
1979,1023.4,25.62
1980,1189.5,25.6
1981,1171.6,25.29
1982,1086.8,25.25
1983,1331.5,25.12
1984,1155.9,25.22
1985,1140,25.4
1986,1126.6,25.23
1987,1078.9,25.65
1988,1351,25.55
1989,1122.4,25.15
1990,1400.6,25.26
1991,1159.9,25.39
1992,1121.3,25.25
1993,1201.9,25.46
1994,1295.6,25.39
1995,1243.6,25.46
1996,1181.8,25.42
1997,1171.4,25.35
1998,1243.5,25.72
1999,1132,25.57
2000,1050.4,25.53
2001,1083.3,25.6
2002,920.8,25.74
2003,1174.5,25.61
2004,1071.3,25.65
2005,1232.5,25.58
2006,1199.4,25.72
2007,1215.6,25.67
2008,1132.1,25.55
2009,959.3,26.05
2010,1200.5,26.03
2011,1110.1,25.62
2012,1073.5,25.6
2013,1216.2,25.68
2014,1033.7,25.73
2015,1093.2,25.92
